"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_summarize_results[single_result]","tests","2026-08-05","passed","2026-08-05","","test_data_summary","",""
"","0","test_summarize_invalid_input[integer_input]","tests","2026-08-05","passed","2026-08-05","","test_data_summary","",""
"","841","test_link_popup[chromium]","tests","2026-08-05","passed","2026-08-05","","test_playwright_practice","",""
"","572","test_dropdown[chromium]","tests","2026-08-05","passed","2026-08-05","","test_playwright_practice","",""
"","5537","test_listbox[chromium]","tests","2026-08-05","failed","2026-08-05","","test_playwright_practice","",""
"","1","test_summarize_invalid_input[string_input]","tests","2026-08-05","passed","2026-08-05","","test_data_summary","",""
"","703","test_checkbox[chromium]","tests","2026-08-05","passed","2026-08-05","","test_playwright_practice","",""
"","5678","test_datepicker2[chromium]","tests","2026-08-05","failed","2026-08-05","","test_playwright_practice","",""
"","619","test_table_select[chromium]","tests","2026-08-05","passed","2026-08-05","","test_playwright_practice","",""
"","0","test_summarize_results[empty_list]","tests","2026-08-05","passed","2026-08-05","","test_data_summary","",""
"","768","test_radiobutton[chromium]","tests","2026-08-05","passed","2026-08-05","","test_playwright_practice","",""
"","0","test_summarize_results[normal_case]","tests","2026-08-05","passed","2026-08-05","","test_data_summary","",""
"","551","test_datepicker1[chromium]","tests","2026-08-05","passed","2026-08-05","","test_playwright_practice","",""
"","0","test_summarize_invalid_input[none_input]","tests","2026-08-05","passed","2026-08-05","","test_data_summary","",""
"","0","test_empty_list_new_requirement","","2026-08-05","passed","2026-08-05","","","",""
